epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.525,3.89347,4.51264,3.45511,0.25265,0.13994,0.05782,0.01608,0.02347,2.53842,2.57841,2.05496,0.00332921,0.00332921,0.00332921
2,407.389,2.32178,2.24355,1.8096,0.24383,0.16364,0.1132,0.04678,0.05419,2.07697,1.8887,1.57973,0.00664056,0.00664056,0.00664056
3,584.923,2.05583,1.95279,1.55777,0.29829,0.1935,0.15345,0.07282,0.07903,1.85017,1.69767,1.43689,0.00992991,0.00992991,0.00992991
4,772.813,1.8972,1.78041,1.43297,0.26838,0.24053,0.20339,0.10944,0.11166,1.71004,1.54711,1.32948,0.009901,0.009901,0.009901
5,960.94,1.78507,1.63777,1.35888,0.32536,0.26789,0.23347,0.12636,0.12899,1.64841,1.44033,1.29449,0.009868,0.009868,0.009868
6,1148.27,1.72114,1.54022,1.31334,0.33917,0.28754,0.25605,0.13952,0.14203,1.60707,1.3709,1.26792,0.009835,0.009835,0.009835
7,1335.81,1.66568,1.45393,1.28364,0.37114,0.28955,0.27519,0.15964,0.15847,1.53399,1.30939,1.22603,0.009802,0.009802,0.009802
8,1523.19,1.62132,1.38701,1.2635,0.42285,0.30637,0.30169,0.17671,0.17482,1.50205,1.25181,1.21049,0.009769,0.009769,0.009769
9,1710.4,1.60426,1.35678,1.24352,0.40834,0.33017,0.31533,0.181,0.18182,1.48071,1.21938,1.19766,0.009736,0.009736,0.009736
10,1895.6,1.57946,1.31406,1.23218,0.40768,0.33651,0.32633,0.19104,0.19132,1.46893,1.21306,1.19054,0.009703,0.009703,0.009703
11,2081.9,1.5645,1.28723,1.225,0.41799,0.33753,0.32921,0.19528,0.19239,1.44026,1.17739,1.17387,0.00967,0.00967,0.00967
12,2268.26,1.53506,1.26042,1.21455,0.43632,0.34707,0.34178,0.20369,0.20088,1.42972,1.16188,1.17174,0.009637,0.009637,0.009637
13,2454.19,1.51813,1.23445,1.20731,0.43387,0.35264,0.34341,0.20074,0.20154,1.42902,1.16286,1.16585,0.009604,0.009604,0.009604
14,2640.5,1.51008,1.2069,1.19367,0.45706,0.37135,0.36768,0.21951,0.21725,1.40161,1.11427,1.15447,0.009571,0.009571,0.009571
15,2826.79,1.5051,1.19652,1.19086,0.45586,0.36798,0.36187,0.21631,0.21426,1.39579,1.11442,1.15137,0.009538,0.009538,0.009538
16,3015,1.48823,1.17962,1.1856,0.4645,0.37943,0.37698,0.22526,0.22346,1.37988,1.08648,1.1437,0.009505,0.009505,0.009505
17,3202.46,1.4792,1.16321,1.17714,0.47394,0.38136,0.38224,0.23238,0.22782,1.37951,1.08078,1.14258,0.009472,0.009472,0.009472
18,3390.08,1.46264,1.13776,1.16782,0.47278,0.37638,0.37427,0.22177,0.22168,1.37488,1.07608,1.13549,0.009439,0.009439,0.009439
19,3574.32,1.45939,1.13865,1.16807,0.47247,0.38354,0.38326,0.23172,0.22868,1.3706,1.06435,1.13705,0.009406,0.009406,0.009406
20,3763.27,1.45493,1.12747,1.16123,0.478,0.39558,0.39021,0.23548,0.23295,1.35609,1.06119,1.12723,0.009373,0.009373,0.009373
21,3948.53,1.44566,1.11368,1.15832,0.48686,0.38853,0.39282,0.24131,0.2359,1.35382,1.0508,1.12501,0.00934,0.00934,0.00934
22,4136.7,1.43432,1.0917,1.15332,0.49165,0.38885,0.39576,0.23723,0.23633,1.3514,1.04835,1.12161,0.009307,0.009307,0.009307
23,4324.23,1.4352,1.09495,1.15041,0.49945,0.40373,0.41016,0.25113,0.24612,1.3404,1.03061,1.11797,0.009274,0.009274,0.009274
24,4510.83,1.43013,1.09022,1.14929,0.5002,0.39078,0.40009,0.24703,0.24165,1.34299,1.0383,1.1142,0.009241,0.009241,0.009241
25,4698.77,1.42962,1.08519,1.14485,0.50633,0.39569,0.40754,0.25117,0.24588,1.35284,1.04384,1.11147,0.009208,0.009208,0.009208
26,4885.05,1.43397,1.08664,1.13738,0.49987,0.4017,0.40879,0.25514,0.2479,1.35372,1.05186,1.10617,0.009175,0.009175,0.009175
