epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.297,2.80906,3.78369,3.26652,0.60231,0.23138,0.20542,0.076,0.09566,2.04791,2.49026,2.43922,0.000369604,0.000369604,0.000369604
2,250.868,1.98567,2.26986,2.20343,0.70599,0.28831,0.29845,0.10092,0.13531,1.87089,1.8148,2.09568,0.000737496,0.000737496,0.000737496
3,369.239,1.82576,1.85534,1.94219,0.8019,0.33108,0.39126,0.19224,0.20625,1.65948,1.57816,1.86742,0.00110294,0.00110294,0.00110294
4,485.484,1.73305,1.6931,1.84865,0.79178,0.35418,0.40462,0.21174,0.21876,1.59059,1.43854,1.77883,0.0011,0.0011,0.0011
5,602.248,1.67267,1.54855,1.77741,0.77424,0.34075,0.38901,0.22765,0.22195,1.5311,1.53245,1.72251,0.00109633,0.00109633,0.00109633
6,719.199,1.64701,1.47032,1.75378,0.81807,0.38621,0.43493,0.22024,0.23209,1.5631,1.4363,1.75,0.00109267,0.00109267,0.00109267
7,833.258,1.61474,1.40215,1.70245,0.74375,0.47394,0.4881,0.27567,0.27418,1.52285,1.29168,1.69132,0.001089,0.001089,0.001089
8,951.529,1.56701,1.31087,1.66565,0.74539,0.40525,0.49694,0.26934,0.26883,1.51651,1.25847,1.68584,0.00108534,0.00108534,0.00108534
9,1069.39,1.55574,1.26481,1.64502,0.73189,0.42527,0.49836,0.28048,0.27128,1.4806,1.24352,1.64386,0.00108167,0.00108167,0.00108167
10,1183.67,1.5209,1.21142,1.62997,0.6618,0.44255,0.5064,0.30276,0.2925,1.44856,1.15226,1.60884,0.001078,0.001078,0.001078
11,1300.32,1.53199,1.21937,1.63139,0.76123,0.4623,0.54299,0.32,0.30451,1.41553,1.11816,1.58457,0.00107434,0.00107434,0.00107434
12,1413.49,1.50758,1.16305,1.5892,0.82313,0.48518,0.56613,0.32079,0.32255,1.41883,1.06364,1.57896,0.00107067,0.00107067,0.00107067
13,1530.67,1.50684,1.14279,1.59609,0.6968,0.53834,0.52938,0.32261,0.30825,1.4177,1.03807,1.57866,0.001067,0.001067,0.001067
14,1645.79,1.47128,1.09057,1.56608,0.69219,0.44092,0.50818,0.31886,0.29875,1.44087,1.07582,1.60469,0.00106334,0.00106334,0.00106334
15,1762.6,1.4601,1.06153,1.54711,0.87718,0.53106,0.57809,0.33657,0.32362,1.41066,0.99183,1.56872,0.00105967,0.00105967,0.00105967
16,1880.04,1.4578,1.05253,1.56166,0.71241,0.48836,0.5284,0.30611,0.29452,1.44682,1.20319,1.59736,0.00105601,0.00105601,0.00105601
17,1996.36,1.4403,1.02376,1.53438,0.70004,0.51922,0.54282,0.34908,0.32681,1.36765,0.95467,1.53435,0.00105234,0.00105234,0.00105234
18,2114.48,1.41837,1.00669,1.50217,0.85055,0.54257,0.58628,0.3467,0.33181,1.3912,0.97152,1.55332,0.00104867,0.00104867,0.00104867
19,2228.16,1.43541,1.00638,1.52235,0.74325,0.47571,0.54931,0.33656,0.31959,1.40743,1.00809,1.55356,0.00104501,0.00104501,0.00104501
20,2343.99,1.42359,0.98502,1.50571,0.8557,0.5427,0.63584,0.39794,0.38415,1.3775,0.91031,1.53331,0.00104134,0.00104134,0.00104134
21,2460.57,1.40795,0.9648,1.51926,0.8699,0.51769,0.59322,0.35164,0.33306,1.37498,0.95161,1.5287,0.00103767,0.00103767,0.00103767
22,2577.24,1.40951,0.95358,1.49759,0.85052,0.52865,0.59952,0.3804,0.35321,1.34812,0.91288,1.51099,0.00103401,0.00103401,0.00103401
23,2694.54,1.41463,0.95042,1.50045,0.8968,0.53228,0.61767,0.40575,0.37492,1.33091,0.89973,1.50185,0.00103034,0.00103034,0.00103034
24,2811.98,1.36273,0.91822,1.45788,0.70295,0.62943,0.63393,0.39494,0.37376,1.37486,0.91729,1.52349,0.00102668,0.00102668,0.00102668
25,2925.34,1.38167,0.92578,1.48095,0.73971,0.5586,0.6177,0.40451,0.38285,1.36277,0.88944,1.52034,0.00102301,0.00102301,0.00102301
26,3038.47,1.38618,0.92293,1.47373,0.72479,0.58407,0.6335,0.41515,0.39721,1.3565,0.84491,1.50676,0.00101934,0.00101934,0.00101934
27,3156.08,1.3725,0.89845,1.47259,0.83903,0.59023,0.63268,0.40287,0.38809,1.37495,0.87594,1.51903,0.00101568,0.00101568,0.00101568
28,3270.47,1.38142,0.89379,1.47543,0.79617,0.59131,0.63756,0.40783,0.38075,1.36902,0.88639,1.53295,0.00101201,0.00101201,0.00101201
29,3387.02,1.35684,0.89162,1.46157,0.7328,0.61911,0.63118,0.41659,0.38592,1.36499,0.84991,1.51102,0.00100834,0.00100834,0.00100834
30,3504.88,1.35143,0.85488,1.44962,0.83052,0.58028,0.64155,0.3998,0.38145,1.33201,0.83173,1.49163,0.00100468,0.00100468,0.00100468
31,3622.18,1.33957,0.85308,1.45184,0.75232,0.60672,0.67138,0.41283,0.39922,1.33467,0.81443,1.48457,0.00100101,0.00100101,0.00100101
32,3735.57,1.33828,0.8584,1.44464,0.81503,0.58828,0.63743,0.41815,0.38829,1.34025,0.78796,1.48798,0.000997345,0.000997345,0.000997345
33,3850.53,1.33173,0.82742,1.44126,0.71751,0.63513,0.66398,0.45033,0.41599,1.32613,0.77492,1.48047,0.000993678,0.000993678,0.000993678
34,3967.5,1.33137,0.8305,1.45093,0.7369,0.59032,0.68258,0.43461,0.41024,1.32308,0.80284,1.48197,0.000990012,0.000990012,0.000990012
35,4082.87,1.34022,0.8208,1.43832,0.80533,0.6414,0.69988,0.44382,0.42456,1.33465,0.76595,1.48368,0.000986346,0.000986346,0.000986346
36,4197.26,1.31802,0.80688,1.433,0.7543,0.59901,0.65365,0.42854,0.39915,1.32888,0.78187,1.48826,0.000982679,0.000982679,0.000982679
37,4312.47,1.34239,0.82787,1.44132,0.79139,0.6086,0.66073,0.41227,0.4034,1.34623,0.7908,1.49718,0.000979013,0.000979013,0.000979013
38,4428.86,1.31079,0.81592,1.41951,0.69738,0.62203,0.66976,0.45787,0.42215,1.31199,0.75971,1.46869,0.000975347,0.000975347,0.000975347
39,4544.62,1.30991,0.80121,1.40893,0.8038,0.642,0.68475,0.48076,0.44113,1.32772,0.79051,1.4837,0.000971681,0.000971681,0.000971681
40,4661.81,1.2953,0.77754,1.40992,0.80229,0.62849,0.70402,0.48619,0.44216,1.30758,0.73787,1.46485,0.000968014,0.000968014,0.000968014
41,4778.26,1.30517,0.77892,1.40572,0.79135,0.60115,0.64636,0.4441,0.4075,1.30703,0.74537,1.47134,0.000964348,0.000964348,0.000964348
42,4894.39,1.28562,0.75811,1.3991,0.7482,0.62678,0.68008,0.4488,0.42658,1.33069,0.73282,1.48131,0.000960682,0.000960682,0.000960682
43,5008.64,1.29917,0.76372,1.40606,0.86154,0.66447,0.73438,0.50054,0.46466,1.3411,0.74834,1.48659,0.000957015,0.000957015,0.000957015
44,5123.18,1.29548,0.75476,1.40926,0.83553,0.671,0.71744,0.48955,0.46079,1.30877,0.7344,1.46966,0.000953349,0.000953349,0.000953349
45,5239.74,1.29825,0.75814,1.39397,0.79436,0.61496,0.67832,0.46901,0.43374,1.32592,0.72916,1.47464,0.000949683,0.000949683,0.000949683
46,5356.35,1.29571,0.74815,1.38598,0.72898,0.64724,0.6931,0.48143,0.43759,1.31789,0.72913,1.4647,0.000946016,0.000946016,0.000946016
47,5468.97,1.2731,0.74036,1.37816,0.84591,0.64682,0.71443,0.49741,0.46409,1.32275,0.73709,1.46269,0.00094235,0.00094235,0.00094235
48,5585.99,1.27899,0.72838,1.39505,0.77687,0.63861,0.70431,0.48762,0.44934,1.32888,0.72067,1.46732,0.000938684,0.000938684,0.000938684
49,5700.49,1.27467,0.7293,1.37585,0.82092,0.62195,0.67294,0.46584,0.43208,1.31524,0.70243,1.4632,0.000935018,0.000935018,0.000935018
50,5815.57,1.25907,0.71778,1.37158,0.7528,0.67388,0.71499,0.51675,0.46426,1.30093,0.69601,1.44771,0.000931351,0.000931351,0.000931351
51,5932.28,1.25251,0.71266,1.37518,0.9055,0.66567,0.72808,0.47579,0.45987,1.31932,0.70124,1.46985,0.000927685,0.000927685,0.000927685
52,6047.83,1.25842,0.69656,1.36333,0.87964,0.68692,0.77825,0.53806,0.49509,1.30227,0.68093,1.44953,0.000924019,0.000924019,0.000924019
53,6163.7,1.2673,0.72057,1.38408,0.79735,0.66295,0.71359,0.48463,0.45085,1.30886,0.70272,1.462,0.000920352,0.000920352,0.000920352
54,6279.26,1.24946,0.72342,1.36456,0.85092,0.62518,0.72624,0.50801,0.47844,1.29541,0.67958,1.45223,0.000916686,0.000916686,0.000916686
55,6395.55,1.24357,0.68837,1.3592,0.7775,0.60499,0.6686,0.45603,0.42818,1.31397,0.68893,1.46131,0.00091302,0.00091302,0.00091302
56,6512.11,1.23994,0.68782,1.35535,0.79901,0.65709,0.71625,0.51057,0.46524,1.31803,0.68934,1.45298,0.000909353,0.000909353,0.000909353
57,6626.55,1.25523,0.69097,1.36209,0.91041,0.69375,0.77305,0.53028,0.50546,1.30695,0.68324,1.45761,0.000905687,0.000905687,0.000905687
58,6742.81,1.2541,0.69534,1.36167,0.84658,0.63092,0.72101,0.51108,0.4721,1.30836,0.67959,1.46014,0.000902021,0.000902021,0.000902021
59,6858.28,1.22832,0.68198,1.36177,0.90016,0.6729,0.7685,0.52605,0.49596,1.3073,0.65979,1.46268,0.000898355,0.000898355,0.000898355
60,6972.01,1.2239,0.67151,1.35446,0.74222,0.68579,0.70878,0.5065,0.45679,1.30223,0.68649,1.45713,0.000894688,0.000894688,0.000894688
