epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.112,1.58785,1.43679,1.03725,0.28698,0.18773,0.14738,0.06954,0.07646,1.61765,1.82982,1.05263,0.00166255,0.00166255,0.00166255
2,427.703,1.61999,1.34938,1.04055,0.36032,0.23166,0.1971,0.10654,0.10869,1.57065,1.36123,1.01598,0.00331603,0.00331603,0.00331603
3,632.905,1.57704,1.288,1.02213,0.35378,0.24649,0.23238,0.12656,0.12868,1.50329,1.23569,0.98732,0.00495632,0.00495632,0.00495632
4,837.017,1.52523,1.24336,1.00742,0.33789,0.27451,0.25099,0.14529,0.14414,1.43861,1.19055,0.96936,0.0049406,0.0049406,0.0049406
5,1041.49,1.48349,1.18974,0.99598,0.35891,0.29029,0.2695,0.15926,0.15683,1.42877,1.10539,0.96543,0.0049208,0.0049208,0.0049208
6,1245.3,1.46646,1.15491,0.98834,0.3739,0.30512,0.28711,0.1631,0.16334,1.40158,1.10501,0.95871,0.004901,0.004901,0.004901
7,1449.46,1.44958,1.13743,0.98425,0.39137,0.30406,0.29156,0.17335,0.16913,1.3889,1.09597,0.95656,0.0048812,0.0048812,0.0048812
8,1653.16,1.43028,1.11081,0.97924,0.40007,0.29347,0.2854,0.16688,0.1656,1.38128,1.08365,0.95655,0.0048614,0.0048614,0.0048614
9,1856.63,1.42135,1.10265,0.97681,0.40076,0.31524,0.30753,0.17907,0.17734,1.34817,1.05051,0.94419,0.0048416,0.0048416,0.0048416
10,2060.32,1.41313,1.084,0.97099,0.39978,0.31419,0.30385,0.17648,0.17605,1.34712,1.03659,0.94216,0.0048218,0.0048218,0.0048218
11,2263.68,1.39303,1.06068,0.96923,0.41565,0.338,0.32803,0.18877,0.18914,1.32547,1.02615,0.93944,0.004802,0.004802,0.004802
12,2467.23,1.39514,1.07435,0.96964,0.41932,0.30152,0.30138,0.17573,0.17558,1.33809,1.05203,0.94568,0.0047822,0.0047822,0.0047822
13,2670.17,1.38675,1.05716,0.96877,0.41513,0.31938,0.3114,0.18044,0.18,1.34302,1.04609,0.93733,0.0047624,0.0047624,0.0047624
14,2873.99,1.37319,1.05242,0.96224,0.44188,0.32968,0.33069,0.19784,0.1934,1.30846,1.0007,0.93628,0.0047426,0.0047426,0.0047426
15,3077.98,1.38233,1.04627,0.96213,0.44061,0.33299,0.33566,0.19985,0.19876,1.29152,0.99467,0.93098,0.0047228,0.0047228,0.0047228
16,3281.85,1.37844,1.03703,0.96494,0.44626,0.33422,0.33576,0.19772,0.19742,1.30059,0.96973,0.93065,0.004703,0.004703,0.004703
17,3485.7,1.36806,1.03438,0.95998,0.436,0.34522,0.34298,0.20401,0.20161,1.30216,0.98047,0.93251,0.0046832,0.0046832,0.0046832
18,3690.31,1.36768,1.03608,0.9608,0.44037,0.33382,0.33437,0.20224,0.19813,1.30243,0.98598,0.93098,0.0046634,0.0046634,0.0046634
19,3892.92,1.36155,1.02763,0.96168,0.43396,0.34219,0.33719,0.19892,0.19715,1.30211,0.97543,0.92721,0.0046436,0.0046436,0.0046436
20,4095.81,1.35763,1.01439,0.95911,0.44401,0.3513,0.34463,0.20782,0.20442,1.27425,0.95151,0.9268,0.0046238,0.0046238,0.0046238
21,4299.4,1.35297,1.01176,0.95549,0.45218,0.35249,0.353,0.20897,0.20692,1.28137,0.9589,0.92746,0.004604,0.004604,0.004604
22,4502.94,1.34856,1.01487,0.9569,0.4431,0.34056,0.3421,0.20808,0.20368,1.28046,0.95857,0.92596,0.0045842,0.0045842,0.0045842
23,4706.2,1.35049,1.00778,0.95839,0.44156,0.36094,0.35649,0.21193,0.2103,1.26903,0.94377,0.92657,0.0045644,0.0045644,0.0045644
24,4909.67,1.33661,0.9995,0.95457,0.4542,0.35226,0.35305,0.21062,0.20882,1.27438,0.9561,0.92367,0.0045446,0.0045446,0.0045446
25,5112.47,1.34445,1.009,0.95554,0.44949,0.34475,0.35253,0.21288,0.21003,1.26356,0.95765,0.9244,0.0045248,0.0045248,0.0045248
26,5315.41,1.34756,1.00287,0.95635,0.47123,0.34656,0.35422,0.21714,0.21197,1.26961,0.95057,0.92347,0.004505,0.004505,0.004505
27,5518.17,1.32953,0.98639,0.94782,0.46291,0.3605,0.36319,0.21922,0.21623,1.26309,0.92547,0.92082,0.0044852,0.0044852,0.0044852
28,5721.78,1.33413,0.98875,0.94952,0.45625,0.35409,0.3599,0.2144,0.21383,1.25563,0.92737,0.92198,0.0044654,0.0044654,0.0044654
29,5924.43,1.33672,0.99329,0.95181,0.46631,0.35827,0.36315,0.22048,0.2175,1.25097,0.92252,0.91905,0.0044456,0.0044456,0.0044456
30,6128.69,1.32994,0.9815,0.94967,0.47148,0.36225,0.36495,0.22195,0.21803,1.24359,0.92978,0.9176,0.0044258,0.0044258,0.0044258
31,6332.49,1.33035,0.98571,0.95164,0.48107,0.35304,0.3616,0.2218,0.21715,1.24759,0.92093,0.92,0.004406,0.004406,0.004406
32,6536.63,1.33503,0.98533,0.95054,0.46716,0.3692,0.37335,0.22482,0.2228,1.241,0.91404,0.91765,0.0043862,0.0043862,0.0043862
33,6739.89,1.33434,0.9809,0.95087,0.46106,0.36329,0.36362,0.21903,0.21631,1.24618,0.92504,0.9205,0.0043664,0.0043664,0.0043664
34,6942.93,1.32531,0.9707,0.94658,0.48065,0.36757,0.37639,0.22792,0.22488,1.24325,0.90703,0.91667,0.0043466,0.0043466,0.0043466
35,7146.51,1.32666,0.97092,0.9479,0.45563,0.366,0.36912,0.22458,0.21979,1.25111,0.92126,0.92002,0.0043268,0.0043268,0.0043268
36,7349.5,1.32132,0.97117,0.94872,0.47856,0.37133,0.37489,0.23051,0.22534,1.23506,0.90412,0.91521,0.004307,0.004307,0.004307
37,7553.57,1.31521,0.96594,0.9467,0.46735,0.37296,0.37548,0.23008,0.22571,1.22933,0.90991,0.91369,0.0042872,0.0042872,0.0042872
38,7756.21,1.32295,0.97165,0.94661,0.48147,0.37755,0.3814,0.23639,0.23033,1.22347,0.90073,0.91415,0.0042674,0.0042674,0.0042674
39,7959.75,1.32005,0.96451,0.94559,0.48755,0.36994,0.3818,0.23329,0.22925,1.22809,0.90026,0.91288,0.0042476,0.0042476,0.0042476
40,8164.25,1.32053,0.96964,0.94739,0.48592,0.37366,0.38241,0.23046,0.22863,1.22715,0.89439,0.91432,0.0042278,0.0042278,0.0042278
41,8367.29,1.30617,0.954,0.94386,0.49406,0.36792,0.38305,0.23374,0.23095,1.21775,0.89598,0.91067,0.004208,0.004208,0.004208
42,8570.11,1.31548,0.96508,0.94869,0.49507,0.37796,0.39035,0.24149,0.23529,1.21304,0.88384,0.91004,0.0041882,0.0041882,0.0041882
43,8773.14,1.31404,0.96261,0.9436,0.47929,0.37725,0.38263,0.23506,0.2302,1.21367,0.89227,0.91072,0.0041684,0.0041684,0.0041684
44,8976.85,1.3045,0.94639,0.94157,0.47748,0.37624,0.38634,0.23855,0.23304,1.20576,0.88239,0.90743,0.0041486,0.0041486,0.0041486
