epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.375,2.4386,2.36822,2.43105,0.36852,0.24164,0.19917,0.09682,0.10253,1.8069,1.53469,1.52585,0.00332921,0.00332921,0.00332921
2,279.867,1.75795,1.5427,1.43568,0.38175,0.31316,0.28541,0.16219,0.16365,1.54392,1.33916,1.2885,0.00663616,0.00663616,0.00663616
3,414.881,1.70686,1.4797,1.34233,0.39072,0.31362,0.29918,0.17072,0.17161,1.54716,1.35241,1.25456,0.00991671,0.00991671,0.00991671
4,549.848,1.64708,1.41504,1.29261,0.41961,0.32074,0.3142,0.18497,0.18399,1.50588,1.29654,1.2246,0.0098812,0.0098812,0.0098812
5,683.732,1.59198,1.33162,1.26148,0.44736,0.3436,0.3396,0.20405,0.20111,1.45194,1.20608,1.19792,0.0098416,0.0098416,0.0098416
6,817.158,1.55892,1.27732,1.23732,0.45934,0.35063,0.35184,0.20832,0.20519,1.45007,1.15703,1.19509,0.009802,0.009802,0.009802
7,948.302,1.52428,1.22004,1.22079,0.48377,0.36358,0.37094,0.22154,0.22081,1.40428,1.12046,1.17064,0.0097624,0.0097624,0.0097624
8,1081.44,1.4967,1.1763,1.2102,0.46278,0.3667,0.36895,0.22302,0.21994,1.40067,1.10296,1.1661,0.0097228,0.0097228,0.0097228
9,1215.01,1.49263,1.1627,1.19786,0.49755,0.37038,0.38566,0.23732,0.23217,1.38081,1.08425,1.15584,0.0096832,0.0096832,0.0096832
10,1348.57,1.47506,1.13143,1.19025,0.48805,0.38576,0.39631,0.24546,0.23885,1.36859,1.07406,1.15135,0.0096436,0.0096436,0.0096436
11,1482,1.46537,1.1136,1.18706,0.49657,0.39442,0.39981,0.24565,0.23988,1.36041,1.0433,1.14576,0.009604,0.009604,0.009604
12,1615.3,1.43792,1.09048,1.17689,0.48864,0.40641,0.40465,0.24512,0.24169,1.35259,1.03339,1.14214,0.0095644,0.0095644,0.0095644
13,1748.52,1.42885,1.07224,1.17384,0.50273,0.39904,0.40569,0.24988,0.2446,1.35063,1.02336,1.13651,0.0095248,0.0095248,0.0095248
14,1881.99,1.42234,1.05128,1.16229,0.51222,0.40758,0.41842,0.25918,0.25289,1.3255,1.00246,1.12918,0.0094852,0.0094852,0.0094852
15,2015.48,1.42101,1.04285,1.16166,0.50982,0.41489,0.42084,0.25777,0.25434,1.32982,1.00003,1.13247,0.0094456,0.0094456,0.0094456
16,2149.01,1.40875,1.03072,1.15853,0.52169,0.41797,0.43232,0.27219,0.26246,1.31907,0.98035,1.12549,0.009406,0.009406,0.009406
17,2282.43,1.39777,1.01345,1.1504,0.5236,0.41575,0.43076,0.26726,0.26112,1.32296,0.98234,1.12606,0.0093664,0.0093664,0.0093664
18,2414.66,1.38303,0.99775,1.14271,0.53208,0.40913,0.43172,0.27083,0.26352,1.31626,0.98024,1.12083,0.0093268,0.0093268,0.0093268
19,2546.63,1.38311,0.99483,1.14408,0.53225,0.42196,0.43823,0.2663,0.26485,1.31823,0.97108,1.12271,0.0092872,0.0092872,0.0092872
20,2680.23,1.3817,0.98775,1.13869,0.53182,0.42191,0.43416,0.27427,0.26588,1.30477,0.96718,1.11714,0.0092476,0.0092476,0.0092476
21,2813.73,1.37313,0.97736,1.13848,0.52874,0.42705,0.44141,0.27131,0.26682,1.30272,0.95418,1.11459,0.009208,0.009208,0.009208
22,2946.77,1.36257,0.9567,1.13386,0.52897,0.42513,0.4402,0.27759,0.2692,1.298,0.95153,1.11222,0.0091684,0.0091684,0.0091684
23,3080.16,1.363,0.95765,1.13093,0.54688,0.42314,0.44684,0.27953,0.27323,1.29644,0.94305,1.11075,0.0091288,0.0091288,0.0091288
24,3212.78,1.35469,0.95199,1.12931,0.55613,0.42105,0.44756,0.28353,0.2746,1.29584,0.93863,1.11065,0.0090892,0.0090892,0.0090892
25,3346.26,1.34659,0.93838,1.12812,0.54951,0.43161,0.45497,0.28182,0.27726,1.30068,0.93987,1.11228,0.0090496,0.0090496,0.0090496
26,3479.57,1.34572,0.93484,1.12398,0.54679,0.43655,0.45148,0.28428,0.27617,1.29053,0.93006,1.10754,0.00901,0.00901,0.00901
27,3612.62,1.34136,0.92523,1.12019,0.56606,0.43301,0.45925,0.29078,0.28171,1.28663,0.9247,1.1058,0.0089704,0.0089704,0.0089704
28,3745.4,1.33267,0.9197,1.11975,0.54958,0.42891,0.45442,0.28811,0.27856,1.28265,0.92726,1.10379,0.0089308,0.0089308,0.0089308
29,3878.27,1.32816,0.91061,1.11347,0.56439,0.43557,0.45823,0.2908,0.2808,1.28724,0.92387,1.10409,0.0088912,0.0088912,0.0088912
30,4011.31,1.32705,0.90622,1.11366,0.55641,0.4477,0.4661,0.29417,0.28535,1.27801,0.91394,1.10142,0.0088516,0.0088516,0.0088516
31,4144.28,1.32616,0.90322,1.11305,0.56401,0.44122,0.46375,0.29273,0.28456,1.26833,0.90676,1.09659,0.008812,0.008812,0.008812
32,4277.85,1.3166,0.88983,1.11144,0.55742,0.44208,0.46655,0.29519,0.28594,1.27736,0.90576,1.10049,0.0087724,0.0087724,0.0087724
33,4410.74,1.31725,0.88588,1.11045,0.55452,0.44119,0.46539,0.29311,0.2849,1.27361,0.90451,1.09861,0.0087328,0.0087328,0.0087328
34,4543.66,1.31261,0.88296,1.10796,0.5722,0.44083,0.46767,0.295,0.28567,1.27466,0.90397,1.09935,0.0086932,0.0086932,0.0086932
35,4676.76,1.30742,0.87847,1.10721,0.56465,0.44184,0.46786,0.29422,0.28703,1.27853,0.90337,1.09962,0.0086536,0.0086536,0.0086536
36,4808.03,1.30361,0.87579,1.10017,0.57612,0.44677,0.46918,0.30291,0.2914,1.26784,0.89817,1.09505,0.008614,0.008614,0.008614
37,4942.26,1.29891,0.86592,1.10061,0.56312,0.45128,0.47312,0.29848,0.29071,1.26803,0.89934,1.09558,0.0085744,0.0085744,0.0085744
38,5074.26,1.29984,0.86171,1.10153,0.56992,0.45443,0.47527,0.30067,0.29225,1.27129,0.89465,1.09632,0.0085348,0.0085348,0.0085348
39,5207.46,1.29387,0.86319,1.09701,0.55796,0.44769,0.46965,0.29532,0.28864,1.26809,0.89699,1.09593,0.0084952,0.0084952,0.0084952
40,5340.43,1.28869,0.85103,1.09653,0.59038,0.44097,0.47412,0.29851,0.29167,1.26281,0.88843,1.0936,0.0084556,0.0084556,0.0084556
41,5472.73,1.2817,0.84194,1.09681,0.58466,0.44987,0.47895,0.30309,0.29607,1.26379,0.88484,1.09303,0.008416,0.008416,0.008416
42,5605.76,1.28516,0.8466,1.09434,0.57781,0.45191,0.48058,0.30298,0.29657,1.26022,0.88848,1.09118,0.0083764,0.0083764,0.0083764
43,5739.04,1.27683,0.83984,1.08991,0.58348,0.44625,0.47879,0.30415,0.29542,1.25938,0.88438,1.09335,0.0083368,0.0083368,0.0083368
44,5872.13,1.27806,0.83342,1.09229,0.57741,0.45471,0.48054,0.30562,0.2971,1.25889,0.88237,1.09121,0.0082972,0.0082972,0.0082972
45,6004.96,1.2788,0.83213,1.09178,0.58356,0.4545,0.48301,0.30667,0.29859,1.26041,0.88115,1.0921,0.0082576,0.0082576,0.0082576
46,6137.95,1.27311,0.8268,1.08854,0.5863,0.45788,0.4814,0.30523,0.29792,1.25663,0.87735,1.08913,0.008218,0.008218,0.008218
47,6270.95,1.27281,0.82567,1.08445,0.58061,0.45632,0.48177,0.30437,0.29769,1.26109,0.87834,1.09084,0.0081784,0.0081784,0.0081784
48,6403.32,1.26482,0.8155,1.08333,0.5863,0.45419,0.47818,0.30418,0.2946,1.26169,0.88593,1.09182,0.0081388,0.0081388,0.0081388
49,6536.21,1.26399,0.81226,1.0851,0.56892,0.46332,0.48317,0.30826,0.29814,1.26184,0.88238,1.09198,0.0080992,0.0080992,0.0080992
50,6669.47,1.26479,0.8148,1.08272,0.58817,0.45389,0.48338,0.30756,0.29838,1.256,0.87818,1.08859,0.0080596,0.0080596,0.0080596
51,6801.86,1.26252,0.80905,1.08168,0.57396,0.46345,0.48519,0.30691,0.29904,1.25624,0.87371,1.08907,0.00802,0.00802,0.00802
52,6934.88,1.25449,0.80139,1.08327,0.56794,0.46392,0.48547,0.30759,0.29846,1.25516,0.87331,1.08817,0.0079804,0.0079804,0.0079804
53,7067.88,1.25504,0.80181,1.08138,0.5712,0.46343,0.48515,0.30647,0.29811,1.2507,0.87361,1.08648,0.0079408,0.0079408,0.0079408
54,7200.59,1.25161,0.79611,1.07752,0.585,0.46275,0.48498,0.30582,0.30033,1.25398,0.86728,1.08754,0.0079012,0.0079012,0.0079012
55,7334.14,1.25693,0.79713,1.07682,0.58962,0.4571,0.48823,0.31153,0.3017,1.25319,0.8724,1.08697,0.0078616,0.0078616,0.0078616
56,7467.71,1.25294,0.79097,1.07936,0.59138,0.46145,0.48897,0.31016,0.30229,1.25541,0.87243,1.08803,0.007822,0.007822,0.007822
57,7601.04,1.24609,0.78662,1.07628,0.5732,0.46033,0.48679,0.31009,0.3016,1.25373,0.871,1.088,0.0077824,0.0077824,0.0077824
58,7734.18,1.23816,0.7805,1.07426,0.57632,0.4606,0.48368,0.30639,0.29969,1.24949,0.87038,1.08569,0.0077428,0.0077428,0.0077428
59,7867.25,1.2425,0.77869,1.07122,0.57589,0.46827,0.48929,0.30829,0.30151,1.25152,0.86984,1.08636,0.0077032,0.0077032,0.0077032
60,8000.3,1.24128,0.77898,1.07155,0.58729,0.46276,0.4904,0.3112,0.30341,1.25086,0.86899,1.08567,0.0076636,0.0076636,0.0076636
61,8133.48,1.23677,0.77297,1.07158,0.58973,0.46109,0.49001,0.31302,0.30351,1.2506,0.86722,1.08585,0.007624,0.007624,0.007624
62,8266.8,1.23483,0.7702,1.06938,0.58455,0.46258,0.48983,0.3106,0.30276,1.24809,0.86947,1.08526,0.0075844,0.0075844,0.0075844
63,8399.97,1.23297,0.76767,1.06796,0.57813,0.45734,0.48628,0.30783,0.3003,1.25025,0.86723,1.0858,0.0075448,0.0075448,0.0075448
64,8530.75,1.22675,0.75921,1.06737,0.5933,0.45378,0.48706,0.30631,0.30088,1.2498,0.86812,1.08572,0.0075052,0.0075052,0.0075052
65,8662.99,1.2296,0.76178,1.0667,0.57176,0.4706,0.48999,0.30832,0.3016,1.2489,0.86513,1.08557,0.0074656,0.0074656,0.0074656
66,8795.73,1.22547,0.75555,1.06355,0.56724,0.47108,0.48902,0.30988,0.303,1.24946,0.86765,1.08599,0.007426,0.007426,0.007426
67,8928.58,1.22513,0.75661,1.06472,0.57377,0.46132,0.48603,0.3086,0.30017,1.24788,0.86944,1.08518,0.0073864,0.0073864,0.0073864
68,9060.6,1.21842,0.74765,1.05955,0.57951,0.45963,0.48538,0.3095,0.30144,1.25078,0.86788,1.08671,0.0073468,0.0073468,0.0073468
69,9193.94,1.22218,0.74956,1.0617,0.56643,0.47262,0.4891,0.31362,0.30396,1.2467,0.86861,1.08611,0.0073072,0.0073072,0.0073072
70,9325.37,1.21635,0.74266,1.06022,0.58377,0.46936,0.49085,0.31341,0.30416,1.24869,0.86759,1.08512,0.0072676,0.0072676,0.0072676
71,9458.36,1.21098,0.74069,1.05938,0.58886,0.46351,0.49167,0.31517,0.30613,1.25063,0.86936,1.08514,0.007228,0.007228,0.007228
72,9590.23,1.21155,0.7365,1.06022,0.58193,0.46637,0.49406,0.31317,0.30663,1.24875,0.86576,1.08531,0.0071884,0.0071884,0.0071884
73,9723.2,1.20987,0.73829,1.05834,0.57772,0.46778,0.48942,0.31305,0.30329,1.24919,0.86861,1.08591,0.0071488,0.0071488,0.0071488
74,9856.5,1.20778,0.7345,1.05733,0.58548,0.46942,0.49018,0.3118,0.30303,1.25077,0.86783,1.08729,0.0071092,0.0071092,0.0071092
75,9990.05,1.2064,0.72979,1.05386,0.578,0.46756,0.48982,0.31206,0.30328,1.24782,0.866,1.08521,0.0070696,0.0070696,0.0070696
76,10123.5,1.20712,0.72934,1.05774,0.5868,0.4654,0.48977,0.31283,0.30366,1.24691,0.86655,1.08393,0.00703,0.00703,0.00703
77,10256.4,1.20012,0.7229,1.05478,0.58131,0.46484,0.48857,0.3094,0.30269,1.24525,0.86938,1.08361,0.0069904,0.0069904,0.0069904
78,10389.2,1.19725,0.71921,1.05202,0.58173,0.46712,0.49073,0.31407,0.30449,1.24715,0.86918,1.08507,0.0069508,0.0069508,0.0069508
79,10522.2,1.19443,0.71644,1.05464,0.57448,0.47542,0.49535,0.31694,0.30683,1.24745,0.8655,1.0845,0.0069112,0.0069112,0.0069112
80,10655.7,1.20235,0.72374,1.05245,0.58009,0.47427,0.49307,0.31621,0.30662,1.24707,0.8681,1.08565,0.0068716,0.0068716,0.0068716
81,10788.8,1.19466,0.71651,1.05165,0.5871,0.46724,0.49297,0.31594,0.30667,1.24887,0.87144,1.08621,0.006832,0.006832,0.006832
82,10921.7,1.19474,0.71598,1.04901,0.57136,0.47763,0.4934,0.3158,0.30637,1.24977,0.87039,1.08674,0.0067924,0.0067924,0.0067924
83,11053.9,1.19153,0.71094,1.05132,0.57955,0.47741,0.49377,0.3119,0.30523,1.24832,0.87146,1.0869,0.0067528,0.0067528,0.0067528
84,11187,1.19269,0.71125,1.04944,0.58106,0.47558,0.49474,0.3167,0.30774,1.24665,0.86912,1.08543,0.0067132,0.0067132,0.0067132
85,11320.3,1.18574,0.70331,1.04604,0.58525,0.47143,0.49478,0.31331,0.30665,1.2461,0.87087,1.08517,0.0066736,0.0066736,0.0066736
86,11453,1.18306,0.70075,1.04437,0.5809,0.47382,0.49334,0.31503,0.30589,1.24717,0.87084,1.08521,0.006634,0.006634,0.006634
87,11585.4,1.17547,0.69701,1.04607,0.58571,0.46973,0.49357,0.31435,0.30619,1.24723,0.8701,1.08569,0.0065944,0.0065944,0.0065944
88,11718.1,1.17591,0.69284,1.0428,0.56549,0.47793,0.49372,0.31395,0.30613,1.24828,0.87005,1.08627,0.0065548,0.0065548,0.0065548
89,11850.9,1.17797,0.6949,1.04426,0.58053,0.47177,0.49255,0.31244,0.30529,1.2489,0.87134,1.08706,0.0065152,0.0065152,0.0065152
90,11983.7,1.17575,0.69246,1.04316,0.58095,0.47558,0.49433,0.31478,0.30669,1.24836,0.87127,1.08703,0.0064756,0.0064756,0.0064756
91,12117,1.17999,0.69377,1.04368,0.59497,0.46739,0.49661,0.31458,0.3081,1.24799,0.86926,1.08668,0.006436,0.006436,0.006436
92,12250.2,1.1753,0.68974,1.03978,0.58466,0.4755,0.49487,0.31404,0.30681,1.25064,0.87018,1.08776,0.0063964,0.0063964,0.0063964
93,12382.3,1.17155,0.68679,1.03952,0.57321,0.48331,0.49572,0.31511,0.30786,1.25095,0.87168,1.08767,0.0063568,0.0063568,0.0063568
94,12515.4,1.17399,0.6866,1.0409,0.57502,0.48262,0.49519,0.31357,0.30671,1.25218,0.87252,1.08804,0.0063172,0.0063172,0.0063172
95,12647.6,1.16491,0.68249,1.03856,0.58286,0.47578,0.49587,0.31803,0.30788,1.25001,0.87191,1.08768,0.0062776,0.0062776,0.0062776
96,12780.3,1.16756,0.67931,1.03913,0.58558,0.47309,0.49445,0.31582,0.30702,1.25112,0.8739,1.08787,0.006238,0.006238,0.006238
97,12913.4,1.1627,0.67807,1.03468,0.58324,0.47161,0.49269,0.31597,0.3065,1.25112,0.87411,1.08766,0.0061984,0.0061984,0.0061984
98,13046,1.15573,0.67227,1.03223,0.58631,0.47773,0.49369,0.31605,0.30653,1.24877,0.87397,1.08728,0.0061588,0.0061588,0.0061588
99,13178,1.15939,0.67353,1.03493,0.58485,0.47438,0.49419,0.3168,0.30741,1.24866,0.87277,1.08729,0.0061192,0.0061192,0.0061192
100,13311,1.16552,0.67481,1.03419,0.5829,0.47184,0.49348,0.31775,0.30745,1.25043,0.87481,1.08736,0.0060796,0.0060796,0.0060796
101,13443.9,1.15642,0.66905,1.03232,0.57137,0.47906,0.49235,0.31686,0.30678,1.24879,0.87503,1.08693,0.00604,0.00604,0.00604
102,13576.5,1.15886,0.6751,1.03497,0.58723,0.46569,0.49358,0.3171,0.30787,1.24949,0.87512,1.0875,0.0060004,0.0060004,0.0060004
103,13709,1.15361,0.66597,1.03208,0.57998,0.47041,0.49325,0.31831,0.30832,1.24997,0.87655,1.08782,0.0059608,0.0059608,0.0059608
104,13842.7,1.1537,0.66799,1.0327,0.58493,0.47081,0.49471,0.31569,0.30794,1.2496,0.87553,1.08788,0.0059212,0.0059212,0.0059212
105,13975.7,1.15251,0.66187,1.02918,0.58742,0.4719,0.49422,0.31614,0.30738,1.24936,0.87688,1.08848,0.0058816,0.0058816,0.0058816
106,14108.6,1.15299,0.66045,1.02803,0.59335,0.46469,0.49336,0.31487,0.30682,1.24971,0.87896,1.08846,0.005842,0.005842,0.005842
107,14241.3,1.1476,0.65779,1.0281,0.58714,0.46911,0.49257,0.31666,0.30709,1.2496,0.87918,1.08851,0.0058024,0.0058024,0.0058024
108,14373.6,1.14136,0.65228,1.02838,0.59684,0.4631,0.49199,0.31524,0.30632,1.25007,0.88104,1.08837,0.0057628,0.0057628,0.0057628
109,14505.6,1.14204,0.65417,1.03017,0.5983,0.46509,0.49194,0.31474,0.30608,1.2503,0.88272,1.08888,0.0057232,0.0057232,0.0057232
110,14638.9,1.13702,0.65019,1.02365,0.59282,0.46649,0.49145,0.31399,0.30536,1.25096,0.88227,1.08924,0.0056836,0.0056836,0.0056836
111,14772,1.1438,0.65211,1.02839,0.59154,0.46835,0.49209,0.31335,0.30543,1.25286,0.88143,1.09029,0.005644,0.005644,0.005644
112,14904.8,1.13983,0.65092,1.02303,0.59438,0.46706,0.49214,0.31527,0.30562,1.2528,0.88068,1.09037,0.0056044,0.0056044,0.0056044
113,15037.2,1.13521,0.64663,1.02235,0.58839,0.47424,0.49283,0.31544,0.30568,1.25295,0.88019,1.09048,0.0055648,0.0055648,0.0055648
114,15170.2,1.13495,0.64451,1.02084,0.58615,0.47639,0.49273,0.31438,0.30584,1.25328,0.88135,1.0908,0.0055252,0.0055252,0.0055252
115,15303.7,1.1346,0.64359,1.02099,0.59026,0.47043,0.4926,0.31365,0.30562,1.25372,0.88347,1.0914,0.0054856,0.0054856,0.0054856
